Frame;DeltaTime(ms);FPS(1.0 / deltaTime);Particle Count(int)
422;2.1362;468;0
423;1.257;796;0
424;1.2236;817;0
425;1.926;519;0
426;1.2725;786;0
427;1.9429;515;0
428;1.2945;772;0
429;1.2698;788;0
430;1.9668;508;0
431;1.2937;773;0
432;1.231;812;0
433;2.1627;462;0
434;1.2715;786;0
435;1.9858;504;0
436;1.281;781;0
437;1.2161;822;0
438;2.0723;483;0
439;1.3292;752;0
440;1.4257;701;0
441;2.2199;450;0
442;1.3336;750;0
443;1.9801;505;0
444;1.3281;753;0
445;1.2444;804;0
446;2.2087;453;0
447;1.2885;776;0
448;2.0467;489;0
449;1.2721;786;0
450;1.2486;801;0
451;1.9511;513;0
452;1.2417;805;0
453;1.1849;844;0
454;2.1389;468;0
455;1.2276;815;0
456;1.2159;822;0
457;1.9297;518;0
458;1.2489;801;0
459;1.9887;503;0
460;1.3187;758;0
461;1.208;828;0
462;1.9462;514;0
463;1.237;808;0
464;1.223;818;0
465;1.9337;517;0
466;1.2986;770;0
467;1.2227;818;0
468;2.1211;471;0
469;1.2623;792;0
470;1.9674;508;0
471;1.2535;798;0
472;1.228;814;0
473;1.9272;519;0
474;1.292;774;0
475;1.1864;843;0
476;1.9885;503;0
477;1.2335;811;0
478;1.2294;813;0
479;2.0959;477;0
480;1.2836;779;0
481;1.9415;515;0
482;1.2668;789;0
483;1.1867;843;0
484;1.9514;512;0
485;1.2153;823;0
486;1.2157;823;0
487;1.9182;521;0
488;1.2551;797;0
489;1.1669;857;0
490;2.2032;454;0
491;1.2407;806;0
492;1.5619;640;0
493;1.5124;661;0
494;1.251;799;0
495;1.9116;523;0
496;1.2656;790;0
497;1.1951;837;0
498;1.9986;500;0
499;1.2617;793;0
500;1.2347;810;0
501;2.0516;487;0
502;1.3066;765;0
503;1.1928;838;0
504;1.9702;508;0
505;1.2394;807;0
506;1.9615;510;0
507;1.2476;802;0
508;1.2242;817;0
509;1.9613;510;0
510;1.2593;794;0
511;1.3556;738;0
512;2.286;437;0
513;1.2567;796;0
514;1.2411;806;0
515;1.9101;524;0
516;1.2838;779;0
517;1.9603;510;0
518;1.3334;750;0
519;1.2168;822;0
520;1.9896;503;0
521;1.2817;780;0
522;1.2821;780;0
523;2.1311;469;0
524;1.2762;784;0
525;1.961;510;0
526;1.2873;777;0
527;1.2165;822;0
528;1.946;514;0
529;1.2136;824;0
530;1.2874;777;0
531;2.1194;472;0
532;1.316;760;0
533;1.2542;797;0
534;1.8926;528;0
535;1.2983;770;0
536;1.5485;646;0
537;1.5847;631;0
538;1.268;789;0
539;1.9722;507;0
540;1.2862;777;0
541;1.2099;827;0
542;2.1978;455;0
543;1.2543;797;0
544;1.9812;505;0
545;1.2464;802;0
546;1.235;810;0
547;1.9643;509;0
548;1.2664;790;0
549;1.1905;840;0
550;1.998;501;0
551;1.2529;798;0
552;3.1729;315;0
553;2.7463;364;0
554;1.8043;554;0
555;1.284;779;0
556;2.389;419;0
557;0.9251;1081;0
558;1.2555;796;0
559;2.1039;475;0
560;1.3663;732;0
561;1.9763;506;0
562;1.1686;856;0
563;1.2338;811;0
564;2.0083;498;0
565;1.728;579;0
566;0.974;1027;0
567;2.1303;469;0
568;1.3143;761;0
569;1.998;501;0
570;1.7064;586;0
571;0.9078;1102;0
572;2.0229;494;0
573;1.2339;810;0
574;1.2418;805;0
575;2.4449;409;0
576;0.9362;1068;0
577;1.9797;505;0
578;1.269;788;0
579;1.2334;811;0
580;2.64;379;0
581;0.646;1548;0
582;1.3016;768;0
583;1.975;506;0
584;1.3436;744;0
585;1.6733;598;0
586;1.6204;617;0
587;1.2895;775;0
588;2.1299;470;0
589;1.6615;602;0
590;0.9243;1082;0
591;2.1301;469;0
592;1.2729;786;0
593;1.9559;511;0
594;1.6646;601;0
595;0.9229;1084;0
596;1.9722;507;0
597;1.33;752;0
598;1.2407;806;0
599;2.4011;416;0
600;0.97;1031;0
601;1.9873;503;0
602;1.3031;767;0
603;1.2291;814;0
604;2.2839;438;0
605;0.9278;1078;0
606;1.2298;813;0
607;2.0986;477;0
608;1.2833;779;0
609;1.517;659;0
610;1.568;638;0
611;1.2356;809;0
612;1.9614;510;0
613;1.2678;789;0
614;1.6942;590;0
615;1.7234;580;0
616;1.3033;767;0
617;1.1818;846;0
618;2.4585;407;0
619;0.9341;1071;0
620;2.0162;496;0
621;1.276;784;0
622;1.2467;802;0
623;1.9498;513;0
624;1.2702;787;0
625;1.1713;854;0
626;2.1838;458;0
627;1.2727;786;0
628;1.2149;823;0
629;1.8371;544;0
630;1.267;789;0
631;1.9199;521;0
632;1.4461;692;0
633;1.3449;744;0
634;2.2853;438;0
635;1.2285;814;0
636;1.2219;818;0
637;1.856;539;0
638;1.2852;778;0
639;1.9048;525;0
640;1.2554;797;0
641;1.1893;841;0
642;2.0063;498;0
643;1.2884;776;0
644;1.231;812;0
645;2.1305;469;0
646;1.2316;812;0
647;1.1602;862;0
648;1.9491;513;0
649;1.2226;818;0
650;1.4903;671;0
651;1.5072;663;0
652;1.2248;816;0
653;1.6796;595;0
654;1.5384;650;0
655;1.2412;806;0
656;1.9346;517;0
657;1.2544;797;0
658;1.218;821;0
659;1.9335;517;0
660;1.2456;803;0
661;1.1707;854;0
662;2.1643;462;0
663;1.2431;804;0
664;1.521;657;0
665;1.5165;659;0
666;1.215;823;0
667;1.4483;690;0
668;1.8969;527;0
669;0.8653;1156;0
670;1.9689;508;0
671;1.2532;798;0
672;1.2089;827;0
673;2.1996;455;0
674;0.9874;1013;0
675;1.2245;817;0
676;2.0351;491;0
677;1.2345;810;0
678;1.2285;814;0
679;1.4746;678;0
680;0.8865;1128;0
681;1.1483;871;0
682;1.9456;514;0
683;1.2257;816;0
684;1.5168;659;0
685;1.6382;610;0
686;1.2917;774;0
687;1.236;809;0
688;2.1792;459;0
689;1.5141;660;0
690;1.7721;564;0
691;1.2522;799;0
692;1.207;829;0
693;1.8939;528;0
694;1.6024;624;0
695;0.9276;1078;0
696;1.965;509;0
697;1.2433;804;0
698;1.2581;795;0
699;2.3635;423;0
700;0.9075;1102;0
701;1.193;838;0
702;2.077;481;0
703;1.2511;799;0
704;2.3256;430;0
705;0.9374;1067;0
706;1.2445;804;0
707;1.9543;512;0
708;1.2642;791;0
709;1.5379;650;0
710;1.7978;556;0
711;1.2324;811;0
712;1.958;511;0
713;1.559;641;0
714;0.9378;1066;0
715;1.9263;519;0
716;1.2317;812;0
717;1.1727;853;0
718;2.2683;441;0
719;0.9328;1072;0
720;1.2142;824;0
721;2.1313;469;0
722;1.2339;810;0
723;1.2118;825;0
724;2.1692;461;0
725;0.9327;1072;0
726;1.9496;513;0
727;1.2288;814;0
728;1.2266;815;0
729;2.236;447;0
730;0.9671;1034;0
731;1.1829;845;0
732;1.9464;514;0
733;1.2078;828;0
734;1.5256;655;0
735;1.8658;536;0
736;1.2329;811;0
737;1.1935;838;0
738;1.8303;546;0
739;1.526;655;0
740;1.9101;524;0
741;1.2883;776;0
742;1.238;808;0
743;2.2134;452;0
744;0.9964;1004;0
745;1.2085;827;0
746;2.1298;470;0
747;1.2203;819;0
748;1.1767;850;0
749;1.8527;540;0
750;1.2625;792;0
751;1.9403;515;0
752;1.2571;795;0
753;1.1885;841;0
754;1.9329;517;0
755;1.2111;826;0
756;1.1928;838;0
757;1.9141;522;0
758;1.2252;816;0
759;1.5116;662;0
760;1.9719;507;0
761;1.2265;815;0
762;1.5156;660;0
763;1.8355;545;0
764;0.9257;1080;0
765;1.9316;518;0
766;1.2571;795;0
767;1.1923;839;0
768;2.2178;451;0
769;0.9735;1027;0
770;1.406;711;0
771;2.1973;455;0
772;1.2529;798;0
773;1.1763;850;0
774;2.1568;464;0
775;0.9369;1067;0
776;1.9296;518;0
777;1.2105;826;0
778;1.2262;816;0
779;2.2102;452;0
780;0.9664;1035;0
781;1.2172;822;0
782;1.979;505;0
783;1.705;587;0
784;0.9355;1069;0
785;2.0776;481;0
786;1.2464;802;0
787;1.9438;514;0
788;1.5326;652;0
789;0.9044;1106;0
790;1.9395;516;0
791;1.2268;815;0
792;1.211;826;0
793;1.8959;527;0
794;1.2408;806;0
795;1.1745;851;0
796;2.1554;464;0
797;1.2131;824;0
798;1.2146;823;0
799;2.2018;454;0
800;0.9626;1039;0
801;1.4543;688;0
802;1.5111;662;0
803;1.2053;830;0
804;1.7925;558;0
805;1.1981;835;0
806;1.2342;810;0
807;1.9182;521;0
808;1.2632;792;0
809;1.4796;676;0
810;1.6555;604;0
811;1.2084;828;0
812;1.1862;843;0
813;1.9081;524;0
814;1.258;795;0
815;1.1877;842;0
816;2.1557;464;0
817;1.2067;829;0
818;1.1868;843;0
819;1.9162;522;0
820;1.2648;791;0
821;1.4816;675;0
822;1.4906;671;0
823;1.384;723;0
824;2.133;469;0
825;1.2358;809;0
826;1.2235;817;0
827;1.9186;521;0
828;1.2342;810;0
829;1.482;675;0
830;1.8404;543;0
831;1.2234;817;0
832;1.177;850;0
833;1.8407;543;0
834;1.5521;644;0
835;1.6216;617;0
836;1.2533;798;0
837;1.1793;848;0
838;1.9465;514;0
839;1.5409;649;0
840;0.9497;1053;0
841;1.9754;506;0
842;1.2413;806;0
843;1.1683;856;0
844;2.4637;406;0
845;0.9378;1066;0
846;1.2058;829;0
847;1.8509;540;0
848;1.2575;795;0
849;1.7547;570;0
850;1.2807;781;0
851;1.191;840;0
852;1.9281;519;0
853;1.2076;828;0
854;1.6184;618;0
855;1.6047;623;0
856;1.2354;809;0
857;1.1753;851;0
858;1.9371;516;0
859;1.5158;660;0
860;0.9487;1054;0
861;2.1491;465;0
862;1.2667;789;0
863;1.4864;673;0
864;1.8016;555;0
865;0.9122;1096;0
866;1.965;509;0
867;1.2213;819;0
868;1.2067;829;0
869;2.1788;459;0
870;0.9993;1001;0
871;1.1964;836;0
872;1.9368;516;0
873;1.1946;837;0
874;1.1842;844;0
875;2.2322;448;0
876;0.955;1047;0
877;1.2008;833;0
878;2.1376;468;0
879;1.2331;811;0
880;1.4692;681;0
881;1.516;660;0
882;1.2357;809;0
883;1.4512;689;0
884;1.4812;675;0
885;1.4695;681;0
886;1.1898;840;0
887;1.5059;664;0
888;1.2382;808;0
889;1.1453;873;0
890;2.1182;472;0
891;0.9146;1093;0
892;1.1714;854;0
893;1.8093;553;0
894;1.2423;805;0
895;2.2545;444;0
896;0.9565;1045;0
897;1.1968;836;0
898;2.0746;482;0
899;1.2623;792;0
900;1.2287;814;0
901;2.2648;442;0
902;0.9132;1095;0
903;1.1747;851;0
904;2.1053;475;0
905;1.2123;825;0
906;2.341;427;0
907;0.9209;1086;0
908;1.2201;820;0
909;1.9461;514;0
910;1.5908;629;0
911;0.8702;1149;0
912;1.9461;514;0
913;1.192;839;0
914;1.1785;849;0
915;2.4224;413;0
916;0.9399;1064;0
917;1.1586;863;0
918;1.8682;535;0
919;1.3322;751;0
920;2.3398;427;0
921;0.9245;1082;0
922;1.2236;817;0
923;1.9379;516;0
924;1.2238;817;0
925;1.1425;875;0
926;2.237;447;0
927;0.919;1088;0
928;1.1942;837;0
929;2.117;472;0
930;1.2867;777;0
931;1.4923;670;0
932;1.571;637;0
933;1.2013;832;0
934;1.1761;850;0
935;1.9233;520;0
936;1.5554;643;0
937;1.6281;614;0
938;1.2334;811;0
939;1.1977;835;0
940;2.0137;497;0
941;1.5158;660;0
942;0.9213;1085;0
943;2.1601;463;0
944;1.2861;778;0
945;1.174;852;0
946;2.1091;474;0
947;0.9242;1082;0
948;1.1783;849;0
949;1.8084;553;0
950;1.233;811;0
951;1.4322;698;0
952;1.5462;647;0
953;1.2111;826;0
954;1.4434;693;0
955;1.4971;668;0
956;1.5814;632;0
957;1.6316;613;0
958;1.2413;806;0
959;1.164;859;0
960;1.9218;520;0
961;1.2189;820;0
962;1.1962;836;0
963;2.152;465;0
964;1.3087;764;0
965;3.308;302;0
966;1.4615;684;0
967;2.6874;372;0
968;1.2336;811;0
969;2.2873;437;0
970;0.9509;1052;0
971;1.1987;834;0
972;1.9454;514;0
973;1.2474;802;0
974;1.2585;795;0
975;4.1957;238;0
976;3.3762;296;0
977;1.2133;824;0
978;4.7263;212;0
979;1.2201;820;0
980;1.198;835;0
981;1.1051;905;0
982;5.6542;177;0
983;1.5346;652;0
984;0.8523;1173;0
985;5.3645;186;0
986;1.2712;787;0
987;1.1698;855;0
988;1.9224;520;0
989;1.2072;828;0
990;1.1868;843;0
991;1.8716;534;0
992;1.2046;830;0
993;1.1476;871;0
994;1.8965;527;0
995;1.1904;840;0
996;1.5186;659;0
997;1.6083;622;0
998;1.2216;819;0
999;1.1455;873;0
1000;1.9252;519;0
1001;1.1881;842;0
1002;1.165;858;0
1003;1.8808;532;0
1004;1.2034;831;0
1005;1.1367;880;0
1006;2.4776;404;0
1007;1.1347;881;0
1008;2.0353;491;0
1009;1.2156;823;0
1010;1.2063;829;0
1011;2.2298;448;0
1012;0.9659;1035;0
1013;1.1796;848;0
1014;1.9528;512;0
1015;1.2011;833;0
1016;1.1755;851;0
1017;2.1082;474;0
1018;1.2639;791;0
1019;1.2072;828;0
1020;2.0741;482;0
1021;1.2316;812;0
1022;1.9472;514;0
1023;1.2221;818;0
1024;1.1834;845;0
1025;1.896;527;0
1026;1.5161;660;0
1027;0.8808;1135;0
1028;1.9972;501;0
1029;1.2258;816;0
1030;1.1803;847;0
1031;2.5059;399;0
1032;0.9468;1056;0
1033;1.9644;509;0
1034;1.2427;805;0
1035;1.1713;854;0
1036;1.8834;531;0
1037;1.2196;820;0
1038;1.1997;834;0
1039;1.9838;504;0
1040;1.2506;800;0
1041;1.5684;638;0
1042;1.9132;523;0
1043;1.2129;824;0
1044;1.2129;824;0
1045;1.7898;559;0
1046;1.2026;832;0
1047;1.1184;894;0
1048;1.8517;540;0
1049;1.1844;844;0
1050;1.1721;853;0
1051;2.0401;490;0
1052;1.5638;639;0
1053;1.6548;604;0
1054;1.2809;781;0
1055;1.2051;830;0
1056;1.9517;512;0
1057;1.1867;843;0
1058;1.1854;844;0
1059;1.9184;521;0
1060;1.3987;715;0
1061;1.3051;766;0
1062;1.9501;513;0
1063;1.2189;820;0
1064;1.1731;852;0
1065;1.8315;546;0
1066;1.2726;786;0
1067;1.9408;515;0
1068;1.238;808;0
1069;1.228;814;0
1070;1.3845;722;0
1071;1.8437;542;0
1072;1.6756;597;0
1073;1.6143;619;0
1074;1.2661;790;0
1075;1.1489;870;0
1076;1.8882;530;0
1077;1.5021;666;0
1078;0.8755;1142;0
1079;1.8235;548;0
1080;1.2352;810;0
1081;1.4783;676;0
1082;1.4882;672;0
1083;1.2104;826;0
1084;1.159;863;0
1085;1.7964;557;0
1086;1.2545;797;0
1087;1.1256;888;0
1088;1.7928;558;0
1089;1.1767;850;0
1090;1.1528;867;0
1091;1.8128;552;0
1092;1.2222;818;0
1093;1.1304;885;0
1094;1.8457;542;0
1095;1.1873;842;0
1096;1.1692;855;0
1097;1.771;565;0
1098;1.2044;830;0
1099;1.112;899;0
1100;1.8622;537;0
1101;1.1751;851;0
1102;1.1509;869;0
1103;2.0242;494;0
1104;1.6218;617;0
1105;1.5596;641;0
1106;1.2693;788;0
1107;1.1496;870;0
1108;1.9218;520;0
1109;1.1724;853;0
1110;1.1806;847;0
1111;1.9095;524;0
1112;1.2258;816;0
1113;1.1291;886;0
1114;1.906;525;0
1115;1.4743;678;0
1116;1.2415;805;0
1117;2.0815;480;0
1118;1.2344;810;0
1119;1.8826;531;0
1120;1.2404;806;0
1121;1.1486;871;0
1122;1.8913;529;0
1123;1.2323;811;0
1124;1.1921;839;0
1125;1.8945;528;0
1126;1.207;829;0
1127;1.1653;858;0
1128;1.9335;517;0
1129;1.1791;848;0
1130;1.1617;861;0
1131;1.873;534;0
1132;1.1912;839;0
1133;1.1373;879;0
1134;1.9101;524;0
1135;1.1898;840;0
1136;1.1714;854;0
1137;2.1197;472;0
1138;1.258;795;0
1139;1.1388;878;0
1140;1.846;542;0
1141;1.1927;838;0
1142;1.1565;865;0
1143;1.8373;544;0
1144;1.2166;822;0
1145;1.112;899;0
1146;1.8467;542;0
1147;1.1702;855;0
1148;1.1327;883;0
1149;1.9007;526;0
1150;1.5494;645;0
1151;0.7968;1255;0
1152;1.8431;543;0
1153;1.1871;842;0
1154;1.136;880;0
1155;2.1485;465;0
1156;0.9113;1097;0
1157;1.1264;888;0
1158;1.7952;557;0
1159;1.1903;840;0
1160;1.1587;863;0
1161;2.1815;458;0
1162;0.9209;1086;0
1163;1.1203;893;0
1164;1.8276;547;0
1165;1.1785;849;0
1166;1.5225;657;0
1167;1.446;692;0
1168;1.2073;828;0
1169;1.1114;900;0
1170;1.8684;535;0
1171;1.2086;827;0
1172;1.5546;643;0
1173;1.5428;648;0
1174;1.2695;788;0
1175;1.1298;885;0
1176;1.8661;536;0
1177;1.533;652;0
1178;1.651;606;0
1179;1.208;828;0
1180;1.1966;836;0
1181;1.9045;525;0
1182;1.5638;639;0
